model,horizon,mse_mean,mse_std,mae_mean,mae_std
hybrid,90,517722.925,27129.63861490405,566.5467407226563,13.765925805551237
hybrid,365,220861.83125,14382.55427599284,353.8224670410156,13.036974742880036
lstm,90,481605.925,37675.73939841895,553.4646606445312,21.033232110648484
lstm,365,214145.578125,23019.90125403946,345.5468444824219,21.329241972471117
transformer,90,577249.375,33514.957054445535,600.0815673828125,18.439537168688467
transformer,365,335376.70625,31235.761263224624,445.3707214355469,22.267422571582898
